n [fs = 250 Hz]	Lead II (V)
238	1.65E+02
239	1.21E+02
240	1.92E+02
241	1.47E+02
242	1.87E+02
243	1.84E+02
244	1.22E+02
245	2.11E+02
246	1.62E+02
247	1.78E+02
248	1.81E+02
249	1.39E+02
250	2.17E+02
251	1.69E+02
252	1.83E+02
253	1.64E+02
254	1.42E+02
255	1.82E+02
256	1.27E+02
257	1.92E+02
258	1.60E+02
259	1.35E+02
260	1.95E+02
261	1.43E+02
262	1.81E+02
263	1.73E+02
264	1.26E+02
265	2.03E+02
266	1.67E+02
267	2.45E+02
268	3.30E+02
269	1.84E+02
270	1.39E+02
271	1.10E+02
272	1.03E+02
273	1.48E+02
274	1.46E+02
275	2.02E+02
276	1.74E+02
277	1.45E+02
278	2.07E+02
279	1.64E+02
280	2.20E+02
281	1.98E+02
282	1.44E+02
283	2.19E+02
284	1.72E+02
285	2.08E+02
286	2.15E+02
287	1.64E+02
288	2.38E+02
289	2.03E+02
290	2.11E+02
291	2.19E+02
292	1.87E+02
293	2.10E+02
294	1.60E+02
295	2.17E+02
296	1.72E+02
297	1.28E+02
298	1.84E+02
299	1.25E+02
300	1.89E+02
301	1.56E+02
302	1.11E+02
303	1.82E+02
304	1.40E+02
305	1.61E+02
306	1.62E+02
307	1.17E+02
308	2.04E+02
309	1.53E+02
310	1.71E+02
311	1.72E+02
312	1.32E+02
313	1.89E+02
314	1.33E+02
315	2.10E+02
316	1.69E+02
317	1.42E+02
318	1.94E+02
319	1.46E+02
320	2.03E+02
321	1.82E+02
322	1.38E+02
323	2.05E+02
324	1.55E+02
325	1.89E+02
326	1.84E+02
327	1.27E+02
328	2.12E+02
329	1.73E+02
330	1.98E+02
331	2.03E+02
332	1.43E+02
333	2.14E+02
334	1.37E+02
335	2.02E+02
336	1.61E+02
337	1.45E+02
338	1.86E+02
339	1.28E+02
340	2.04E+02
341	1.59E+02
342	1.15E+02
343	1.84E+02
344	1.38E+02
345	1.83E+02
346	1.70E+02
347	1.23E+02
348	2.69E+02
349	3.11E+02
350	2.42E+02
351	1.06E+02
352	5.18E+01
353	1.31E+02
354	1.10E+02
355	1.91E+02
356	1.36E+02
357	2.00E+02
358	1.73E+02
359	1.45E+02
360	1.98E+02
361	1.54E+02
362	2.08E+02
363	1.88E+02
364	1.50E+02
365	2.37E+02
366	1.84E+02
367	2.23E+02
368	2.06E+02
369	1.60E+02
370	2.37E+02
371	1.83E+02
372	2.05E+02
373	1.88E+02
374	1.69E+02
375	2.00E+02
376	1.38E+02
377	2.18E+02
378	1.62E+02
379	1.36E+02
380	1.72E+02
381	1.18E+02
382	1.80E+02
383	1.60E+02
384	1.23E+02
385	1.97E+02
386	1.49E+02
387	1.88E+02
388	1.85E+02
389	2.16E+02
390	2.09E+02
391	1.89E+02
392	2.35E+02
393	1.83E+02
394	2.61E+02
395	2.19E+02
396	1.95E+02
397	2.58E+02
398	2.03E+02
399	2.53E+02
400	2.40E+02
401	2.06E+02
402	2.45E+02
403	2.25E+02
404	2.24E+02
405	2.56E+02
406	2.03E+02
407	2.77E+02
408	2.33E+02
409	2.17E+02
410	2.43E+02
411	1.91E+02
412	2.42E+02
413	2.18E+02
414	1.90E+02
415	2.47E+02
416	1.80E+02
417	2.31E+02
418	2.17E+02
419	1.86E+02
420	2.36E+02
421	2.04E+02
422	2.57E+02
423	2.81E+02
424	3.30E+02
425	2.49E+02
426	1.19E+02
427	2.05E+02
428	1.49E+02
429	1.72E+02
430	2.17E+02
431	1.98E+02
432	2.37E+02
433	1.93E+02
434	2.47E+02
435	2.27E+02
436	1.81E+02
437	2.48E+02
438	2.04E+02
439	2.45E+02
440	2.28E+02
441	2.26E+02
442	2.45E+02
443	1.88E+02
444	2.57E+02
445	2.22E+02
446	2.11E+02
447	2.35E+02
448	1.72E+02
449	2.34E+02
450	1.93E+02
451	1.56E+02
452	1.98E+02
453	1.34E+02
454	1.82E+02
455	1.62E+02
456	1.12E+02
457	1.70E+02
458	1.25E+02
459	1.67E+02
460	1.57E+02
461	1.19E+02
462	1.65E+02
463	1.12E+02
464	1.91E+02
465	1.50E+02
466	1.47E+02
467	1.75E+02
468	1.28E+02
469	1.85E+02
470	1.53E+02
471	1.31E+02
472	1.75E+02
473	1.20E+02
474	1.91E+02
475	1.53E+02
476	1.21E+02
477	1.81E+02
478	1.24E+02
479	1.78E+02
480	1.67E+02
481	1.22E+02
482	1.81E+02
483	1.26E+02
484	2.17E+02
485	1.54E+02
486	1.66E+02
487	1.65E+02
488	1.07E+02
489	1.87E+02
490	1.39E+02
491	1.27E+02
492	1.64E+02
493	1.07E+02
494	1.81E+02
495	1.45E+02
496	1.10E+02
497	1.71E+02
498	1.22E+02
499	1.80E+02
500	1.67E+02
501	2.28E+02
502	3.30E+02
503	9.21E+01
504	1.23E+02
505	6.83E+01
506	1.05E+02
507	1.39E+02
508	9.26E+01
509	1.86E+02
510	1.43E+02
511	1.14E+02
512	1.92E+02
513	1.60E+02
514	1.21E+02
515	1.76E+02
516	1.32E+02
517	1.89E+02
518	1.66E+02
519	1.30E+02
520	1.89E+02
521	1.48E+02
522	1.94E+02
523	1.56E+02
524	1.80E+02
525	1.77E+02
526	1.09E+02
527	1.87E+02
528	1.38E+02
529	1.26E+02
530	1.44E+02
531	8.25E+01
532	1.51E+02
533	1.15E+02
534	8.99E+01
535	1.28E+02
536	7.63E+01
537	1.44E+02
538	1.16E+02
539	8.38E+01
540	1.32E+02
541	8.75E+01
542	1.45E+02
543	1.21E+02
544	1.38E+02
545	1.38E+02
546	8.47E+01
547	1.60E+02
548	1.14E+02
549	1.18E+02
